date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-09-10,,4,,,,5,
2018-09-11,,,,,,,
2018-09-12,,,,,,,
2018-09-13,,,,,,,
2018-09-14,,,,,,,
2018-09-15,,,,,,,
2018-09-16,,,,,,,
2018-09-17,,,,,,,
2018-09-18,,,,,,,
2018-09-19,,,,,,,
2018-09-20,,,,,,,
2018-09-21,,,,,,,
2018-09-22,,2,,,,3,
2018-09-23,,,,,,,
2018-09-24,,,,,,,
2018-09-25,,5,,,,5,
2018-09-26,,48,,,,15,
2018-09-27,,36,,,,21,
2018-09-28,,46,,,,32,
2018-09-29,,29,,,,21,
2018-09-30,,33,,,,18,
2018-10-01,,51,,,,29,
2018-10-02,,51,,,,48,
2018-10-03,,26,,,,21,
2018-10-04,,19,,,,15,
2018-10-05,,28,,,,20,
2018-10-06,,1,,,,2,
2018-10-07,,4,,,,3,
2018-10-08,8686.25,13,0.0,1.0,382900.0,14,100.0
2018-10-09,1226645.9032,21,0.0,1.0,108803.0,17,999.9
2018-10-10,160497.864492,25,0.0,1.0,711783.0,22,499.9
2018-10-11,1116762.12949,42,0.0,1.01,4177290.0,27,319.79354371
2018-10-12,2517309.96786,36,0.0,1.01,1322240.0,25,205.50005703
2018-10-13,73807.859791,13,0.0,1.01,698507.0,10,1009.899
2018-10-14,177667.051143,20,0.0,1.01,982750.0,8,6284.35553089
2018-10-15,45450789.5881,89,0.0,1.02,10660400.0,45,2807.04
2018-10-16,592859.159253,90,24561779.8824,1.03,2124080.0,48,3038.18562752
2018-10-17,772948.876138,74,24346110.3564,1.02,1102740.0,50,1408.68071601
2018-10-18,327452.615816,37,24187789.0,1.01,1182450.0,29,661.57929
2018-10-19,638364.906897,29,24002106.0,1.01,715078.0,24,504.899
2018-10-20,566360.331466,38,23994903.0,1.01,299871.0,34,100.470325195
2018-10-21,43415.3660645,11,24149159.0,1.01,509276.0,10,3587.52
2018-10-22,24496520.0233,52,33637864.0,1.01,1211160.0,46,2236.41214753
2018-10-23,190728687.9,162,0.0,1.01,1503840.0,139,10.1
2018-10-24,131273654.865,164,85597084.0,1.01,923940.0,155,12.614395
2018-10-25,1308689.53043,143,85423351.0,1.01,1365520.0,115,101.0
2018-10-26,3170044.02686,115,125705149.0,1.01,950623.0,93,483.169658
2018-10-27,1276862.64046,81,125258974.0,1.01,712963.0,82,471.5286
2018-10-28,88937.0351737,57,125585474.0,1.01,282707.0,68,99.99
2018-10-29,4317689.70607,114,126268125.0,1.01,1983680.0,92,481.1964109
2018-10-30,11927914.1486,124,129240720.09,1.01,715882.0,110,151.4798
2018-10-31,2092073.12654,144,128636634.949,1.01,1279360.0,123,68.53355
2018-11-01,1111738.97549,152,126826371.561,0.996413,1800480.0,141,49.81068587
2018-11-02,20979338.5644,117,131328516.589,0.992897,2042390.0,105,945.751581533
2018-11-03,306858.204758,85,132760170.0,1.0,1402480.0,78,99.97
2018-11-04,338438.987494,95,132233908.24,1.0,2144200.0,100,93.6
2018-11-05,6811446.20971,127,133808867.952,0.996997,1287400.0,131,49.82991006
2018-11-06,2306374.20945,225,134764761.0,1.0,2241070.0,165,500.0
2018-11-07,1549705.80529,176,134846051.0,1.0,2589880.0,152,490.723222
2018-11-08,11318949.6401,185,134582387.0,1.0,3423190.0,151,799.964438
2018-11-09,1005575.89717,140,133813884.158,1.0,3478250.0,115,245.0
2018-11-10,1121395.99148,120,135543519.0,1.01,2497760.0,115,559.07136
2018-11-11,1678593.80529,97,135307300.0,1.01,4726130.0,91,981.17713106
2018-11-12,4734363.8986,164,135869180.0,1.01,6446540.0,153,1007.45941065
2018-11-13,18869871.7052,191,135535719.0,1.01,6483310.0,142,2096.76184022
2018-11-14,20398124.9141,450,145938458.0,1.02,24013300.0,287,3251.6988
2018-11-15,30177499.4138,649,145288638.0,1.02,18776600.0,376,2871.5856
2018-11-16,21546177.7117,556,145610831.825,1.02,9247040.0,348,3839.943
2018-11-17,8028471.59393,654,146931038.881,1.03,5537380.0,418,532.51
2018-11-18,5808430.87145,530,144472180.0,1.01,5735460.0,347,1272.06556305
2018-11-19,20700978.2667,1204,144008136.863,1.01,27873100.0,685,1009.97413289
2018-11-20,62952067.8926,1515,156707498.0,1.02,43293600.0,857,1078.91470326
2018-11-21,43947436.3071,992,166669832.97,1.02,20164000.0,604,1020.0
2018-11-22,12274587.1056,496,164546587.863,1.01,11556600.0,357,485.61461651
2018-11-23,24237420.9309,907,169431172.0,1.02,17717500.0,590,759.9
2018-11-24,11079531.3179,677,169951729.0,1.02,19409700.0,461,1019.98413084
2018-11-25,17408901.4036,1061,170393049.0,1.03,23476200.0,667,923.9512
2018-11-26,16009881.4133,1043,168735476.25,1.02,29734800.0,635,1018.98
2018-11-27,24205387.41,1020,174091712.604,1.03,13622700.0,666,598.95300928
2018-11-28,37641139.612,1125,173690422.0,1.01,23327400.0,703,545.4
2018-11-29,39953490.2933,1031,179215723.0,1.01,18025473.0,651,758.47121802
2018-11-30,10058598.061,836,178350744.0,1.01,14143221.0,611,252.45835568
2018-12-01,8582977.89506,739,177962574.0,1.01,14198649.0,437,100.98662659
2018-12-02,7039361.04985,400,178770938.0,1.01,10761895.0,327,199.98
2018-12-03,7241539.57649,691,178146806.0,1.01,12188098.0,496,403.8788
2018-12-04,25204060.417,708,178853754.0,1.01,12556999.0,498,488.187038535
2018-12-05,12951832.1541,841,180498555.0,1.01,14257800.0,576,504.97728914
2018-12-06,19041607.5509,977,179597591.029,1.01,21637768.0,687,504.9808201
2018-12-07,31365035.3244,1703,188836065.98,1.02,29947363.0,972,682.18259022
