date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee,paymentCount
2017-09-24,,,5,,,,0.699398,8,,0.170894,4
2017-09-25,,,8,,,,0.520637,16,,0.0,3
2017-09-26,,,1,,,,0.178761,4,,0.178761,1
2017-09-27,,,6,,,,0.683577,12,,0.1708065,3
2017-09-28,,,36,,,,2.245973,65,,0.0,12
2017-09-29,,,2487,,,,97.645858,4747,,0.0,548
2017-09-30,,,2528,,,,146.158702,4976,,0.0,823
2017-10-01,436003334.537,131165286.735,3096,0.0,0.021678,50068700.0,291.170785,5973,18065.296266,0.17107,1661
2017-10-02,1025157737.96,151391424.74,2943,596765346.775,0.024607,57641300.0,316.074603,5858,24206.767145,0.17107,1792
2017-10-03,604612406.44,125245327.846,1808,667797139.712,0.025757,16997800.0,182.280983,3701,21063.7437169,0.17107,1018
2017-10-04,207884312.824,48658685.9893,859,540954733.002,0.020864,9000050.0,59.948744,1769,16076.1638622,0.0,335
2017-10-05,411326650.275,105529746.38,1193,569117180.371,0.021951,5562510.0,156.805239,2454,39520.6167878,0.17107,882
2017-10-06,312314745.455,88156760.7305,889,553779286.236,0.021359,7780710.0,114.499377,1844,67195.4243861,0.17107,648
2017-10-07,185266331.519,52958699.3443,671,477418796.67,0.018414,7411240.0,81.891164,1371,36179.109054,0.17107,460
2017-10-08,214142599.597,66264825.0076,679,542632959.348,0.020929,7727460.0,90.981593,1406,54499.9077244,0.17107,521
2017-10-09,163939625.745,57131563.06,680,527453167.687,0.020344,4663310.0,87.836065,1460,30458.8381498,0.17107,492
2017-10-10,211980536.346,64279716.3825,660,573307371.873,0.022112,2725600.0,80.536581,1376,46343.1169314,0.17107,460
2017-10-11,147429298.943,61110954.7733,557,556901110.311,0.02148,3606720.0,70.54622,1172,42745.99476,0.17107,399
2017-10-12,191961300.242,66928182.473,672,584346541.285,0.022538,8680640.0,86.246889,1411,46152.572646,0.17107,492
2017-10-13,243264094.953,90728018.358,782,675685385.315,0.026061,15613600.0,110.361223,1642,106924.705593,0.17107,625
2017-10-14,379080551.684,101997900.982,930,878302735.831,0.033876,27853200.0,142.220331,1944,699264.961828,0.171246,812
2017-10-15,280089467.037,86825379.1343,726,852315171.298,0.032874,7104990.0,104.520862,1450,663027.841217,0.171246,593
2017-10-16,229827474.898,85276112.841,626,776235927.408,0.029939,6196030.0,93.112895,1311,569556.699329,0.171246,540
2017-10-17,305513404.208,94783780.9301,669,750680263.292,0.028953,7039900.0,104.33597,1343,514046.846489,0.171246,603
2017-10-18,464452866.206,210134539.479,502,705701001.385,0.027219,2336180.0,78.68741,1042,446224.390488,0.171246,449
2017-10-19,206818645.137,129830627.41,536,692353930.324,0.026704,2897720.0,82.803862,1124,414421.284199,0.171246,470
2017-10-20,189373019.895,80659810.0674,705,699559649.274,0.026982,8716410.0,111.994747,1477,394919.568082,0.171246,627
2017-10-21,154653813.895,55538537.8263,578,798714952.334,0.030806,5344520.0,84.506958,1204,433132.634977,0.17107,486
2017-10-22,128926681.227,51814314.8075,517,740601428.649,0.028565,2930210.0,75.831882,1118,388142.264806,0.171246,435
2017-10-23,65490614.3749,33508263.5887,298,717753741.753,0.027684,3517050.0,42.534358,657,194512.283729,0.171246,238
